"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202000000001";"154 742 274";"B01";"1";"7";"0";"2";"2";"15";"1";
"202000000001";"154 742 275";"A01";"1";"33";"0";"2";"1";"2";"1";
"202000000002";"154 742 273";"A01";"3";"7";"0";"1";"2";"26";"1";
"202000000003";"154 742 271";"B01";"1";"7";"0";"2";"1";"1";"1";
"202000000003";"154 742 272";"A01";"1";"7";"0";"2";"8";"1";"0";
"202000000004";"154 742 270";"A01";"3";"7";"0";"1";"3";"1";"1";
"202000000005";"154 742 266";"B01";"1";"7";"0";"2";"2";"2";"1";
"202000000005";"154 742 267";"A01";"1";"7";"0";"2";"5";"2";"1";
"202000000006";"154 742 264";"B01";"2";"2";"0";"2";"2";"1";"1";
"202000000006";"154 742 265";"A01";"1";"10";"0";"2";"1";"9";"1";
"202000000007";"154 742 262";"A01";"1";"7";"0";"2";"2";"21";"1";
"202000000007";"154 742 263";"B01";"1";"7";"0";"2";"6";"2";"1";
"202000000008";"154 742 260";"B01";"3";"7";"0";"2";"3";"15";"1";
"202000000008";"154 742 261";"A01";"2";"2";"0";"2";"1";"19";"1";
"202000000009";"154 742 259";"A01";"1";"7";"0";"1";"2";"16";"1";
"202000000010";"154 742 257";"A01";"1";"7";"0";"2";"1";"13";"1";
"202000000010";"154 742 258";"B01";"2";"7";"0";"2";"2";"21";"1";
"202000000011";"154 742 255";"A01";"2";"7";"0";"2";"2";"15";"1";
"202000000011";"154 742 256";"B01";"2";"1";"0";"2";"5";"19";"5";
"202000000012";"154 742 254";"A01";"2";"7";"0";"1";"3";"26";"1";
"202000000013";"154 742 253";"A01";"1";"7";"13";"0";"1";"1";"1";
"202000000014";"154 742 248";"B01";"2";"1";"0";"2";"4";"16";"5";
"202000000014";"154 742 249";"A01";"2";"7";"0";"2";"2";"16";"1";
"202000000015";"154 742 247";"A01";"2";"7";"9";"0";"1";"19";"1";
"202000000016";"154 742 243";"C01";"2";"7";"0";"2";"1";"2";"1";
"202000000016";"154 742 244";"D01";"2";"7";"0";"2";"1";"2";"1";
"202000000016";"154 742 245";"A01";"2";"7";"0";"2";"1";"2";"1";
"202000000016";"154 742 246";"B01";"2";"7";"0";"2";"4";"2";"1";
"202000000017";"154 742 242";"A01";"3";"30";"8";"0";"3";"1";"1";
"202000000018";"154 742 240";"A01";"3";"7";"0";"2";"6";"1";"1";
"202000000018";"154 742 241";"B01";"3";"7";"0";"2";"1";"1";"1";
"202000000019";"154 742 238";"A01";"1";"7";"13";"0";"2";"1";"1";
"202000000020";"154 742 236";"A01";"3";"10";"0";"2";"1";"19";"1";
"202000000020";"154 742 237";"B01";"3";"10";"0";"2";"0";"1";"1";
"202000000021";"154 742 235";"Z01";"3";"99";"0";"1";"0";"26";"0";
"202000000022";"154 742 234";"A01";"3";"31";"1";"0";"8";"1";"1";
"202000000023";"154 742 233";"A01";"0";"10";"8";"0";"0";"0";"1";
"202000000024";"154 742 231";"Z01";"1";"7";"0";"2";"1";"2";"0";
"202000000024";"154 742 232";"A01";"1";"32";"0";"2";"4";"2";"3";
"202000000025";"154 742 229";"A01";"2";"7";"0";"2";"1";"2";"0";
"202000000025";"154 742 230";"B01";"2";"7";"0";"0";"4";"2";"0";
"202000000026";"154 742 227";"B01";"0";"33";"0";"2";"1";"15";"0";
"202000000026";"154 742 228";"A01";"0";"7";"0";"2";"3";"15";"0";
"202000000027";"154 742 225";"A01";"1";"31";"0";"2";"1";"17";"1";
"202000000027";"154 742 226";"B01";"3";"10";"0";"2";"0";"0";"0";
"202000000028";"154 742 224";"A01";"1";"10";"0";"1";"3";"1";"1";
"202000000029";"154 742 223";"A01";"1";"43";"0";"0";"7";"1";"1";
"202000000030";"154 742 221";"A01";"3";"30";"0";"2";"1";"1";"1";
"202000000030";"154 742 222";"B01";"3";"7";"0";"2";"6";"1";"1";
"202000000031";"154 742 219";"A01";"1";"1";"0";"2";"8";"19";"5";
"202000000031";"154 742 220";"B01";"1";"7";"0";"2";"1";"1";"1";
"202000000032";"154 742 217";"Z01";"0";"2";"0";"2";"7";"16";"0";
"202000000032";"154 742 218";"B01";"2";"1";"0";"2";"8";"1";"5";
"202000000033";"154 742 216";"A01";"2";"7";"0";"1";"4";"4";"1";
"202000000034";"154 742 215";"A01";"2";"50";"0";"0";"1";"1";"3";
"202000000035";"154 742 213";"A01";"2";"1";"0";"2";"5";"12";"5";
"202000000035";"154 742 214";"B01";"2";"7";"0";"2";"3";"7";"2";
"202000000036";"154 742 211";"A01";"2";"7";"0";"2";"3";"9";"1";
"202000000036";"154 742 212";"B01";"2";"30";"0";"2";"1";"1";"1";
"202000000037";"154 742 209";"A01";"2";"7";"0";"2";"2";"2";"1";
"202000000037";"154 742 210";"B01";"2";"7";"0";"2";"3";"2";"1";
"202000000038";"154 742 207";"B01";"2";"33";"0";"2";"1";"1";"1";
"202000000038";"154 742 208";"A01";"2";"7";"0";"2";"3";"15";"1";
"202000000039";"154 742 205";"B01";"2";"7";"0";"2";"2";"17";"3";
"202000000039";"154 742 206";"A01";"2";"7";"0";"2";"6";"15";"1";
"202000000040";"154 742 203";"A01";"3";"7";"0";"9";"1";"26";"0";
"202000000040";"154 742 204";"B01";"3";"7";"12";"1";"0";"26";"0";
"202000000041";"154 742 202";"A01";"3";"7";"0";"1";"6";"16";"1";
"202000000042";"154 742 200";"B01";"3";"33";"0";"2";"8";"3";"1";
"202000000042";"154 742 201";"A01";"3";"7";"0";"2";"0";"0";"0";
"202000000043";"154 742 198";"B01";"1";"32";"0";"2";"4";"23";"1";
"202000000043";"154 742 199";"A01";"1";"7";"0";"2";"1";"2";"1";
"202000000044";"154 742 197";"A01";" -1";"7";"1";"0";"1";"1";"0";
"202000000045";"154 742 194";"A01";" -1";"7";"0";"2";"1";"26";"1";
"202000000045";"154 742 195";"C01";" -1";"7";"0";"2";"1";"1";"1";
"202000000045";"154 742 196";"B01";" -1";"7";"0";"0";"4";"2";"1";
"202000000046";"154 742 192";"A01";"3";"7";"0";"2";"1";"2";"1";
"202000000046";"154 742 193";"B01";"3";"7";"0";"2";"9";"2";"0";
"202000000047";"154 742 191";"A01";"1";"32";"8";"0";"1";"14";"1";
"202000000048";"154 742 189";"A01";"1";"7";"0";"2";"3";"0";"0";
"202000000048";"154 742 190";"B01";"2";"7";"0";"2";"3";"0";"0";
"202000000049";"154 742 187";"A01";"0";"31";"0";"2";"1";"15";"1";
"202000000049";"154 742 188";"B01";"0";"7";"0";"2";"1";"15";"1";
"202000000050";"154 742 183";"B01";"2";"7";"0";"1";"6";"23";"1";
"202000000050";"154 742 184";"A01";"2";"7";"0";"1";"6";"1";"1";
"202000000051";"154 742 182";"A01";"1";"7";"0";"1";"8";"1";"1";
"202000000052";"154 742 180";"B01";"1";"7";"0";"2";"8";"1";"1";
"202000000052";"154 742 181";"A01";"2";"33";"0";"2";"3";"1";"1";
