"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202000000001";"4";"HENRI BARBUSSE (AVENUE)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000002";"4";"MOUSSEAUX(CHEMIN)";"0";"N/A";"2";"2";"0";"1";"0";"100";"3";;" -1";"1";"0";"1";"50"
"202000000003";"4";"CARNOT(AVENUE)";"0";"N/A";" -1";"2";"0";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000004";"4";"VICTOR HUGO (AVENUE)";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";;" -1";"1";"0";"1";"30"
"202000000005";"3";"35";"0";"N/A";"1";"1";"0";"1";"4";"674";"2";;" -1";"1";"3";"8";"50"
"202000000006";"3";"D6015";"0";"N/A";"2";"3";"0";"1";"66";"170";"1";;" -1";"2";"0";"1";"80"
"202000000007";"3";"DE GAULLE ( AVE DU GLE )A PARTIR DES NR";"0";"N/A";"2";"6";"0";"1";"3";"600";"1";;" -1";"1";"0";"1";"50"
"202000000008";"4";"N/A";"0";"N/A";"2";"4";"0";"1";"(1)";"(1)";"1";;" -1";"2";"5";"1";"50"
"202000000009";"3";"928";"0";"N/A";"2";"2";"0";"1";"6";"0";"1";;" -1";"1";"5";"1";"50"
"202000000010";"3";"941";"0";"N/A";"2";"2";"0";"1";"134";"400";"1";;"5";"1";"0";"1";"80"
"202000000011";"7";"22";"0";"N/A";"2";"3";"0";"1";"(1)";"(1)";"3";;" -1";"1";"0";"1";"50"
"202000000012";"4";"LECLERC (RUE DU MARECHAL)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";;" -1";"1";"0";"1";"50"
"202000000013";"4";"N/A";"0";"N/A";"3";"2";"0";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000014";"4";"N/A";"0";"N/A";"2";"2";"1";"1";"(1)";"(1)";"3";;" -1";"1";"0";"1";"50"
"202000000015";"3";"GEORGES CLEMENCEAU (AVENUE)";"0";"N/A";"2";"2";"0";"2";"0";"0";"3";;" -1";"2";"0";"4";"50"
"202000000016";"4";"VERN (DE)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";;" -1";"1";"5";"1";"50"
"202000000017";"4";"GRIMAULT (BD LEON)";"0";"N/A";"3";"2";"2";"1";"(1)";"(1)";"1";;" -1";"1";"0";"5";"50"
"202000000018";"4";"CHATEAUGIRON (DE)";"0";"N/A";"2";"4";"0";"1";"0";"0";"1";;" -1";"2";"5";"1";"50"
"202000000019";"3";"5";"0";"N/A";"2";"2";"0";"2";"21";"203";"3";;"5";"2";"0";"3";"80"
"202000000020";"4";"40 avenue du 8 Mai ";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";;" -1";"1";"0";"1";"50"
"202000000021";"4";"N/A";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000022";"4";"LUXEMBOURG   AVENUE DE";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000023";"4";"N/A";"0";"N/A";"2";"4";"0";"2";"0";"0";"1";;" -1";"1";"2";"1";"50"
"202000000024";"4";"N/A";"0";"N/A";"1";"2";"0";"4";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000025";"4";"CANNES (ROUTE DE) ";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000026";"4";"VAL FLEURI CHEMIN DU";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000027";"4";"CURIE PIERRE ET MARIE AVENUE";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000028";"4";"N/A";"0";"N/A";"1";"2";"3";"1";"0";"0";"1";;" -1";"1";"0";"1";"50"
"202000000029";"4";"N/A";"0";"N/A";"1";"1";"0";"2";"0";"0";"1";;" -1";"8";"0";"1";"30"
"202000000030";"4";"N/A";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";;" -1";"2";"0";"1";"50"
"202000000031";"4";"N/A";"0";"N/A";"3";"4";"0";"1";"0";"0";"1";;" -1";"2";"0";"1";"50"
"202000000032";"4";"N/A";"0";"N/A";"2";"4";"1";"1";"0";"0";"1";;" -1";"1";"0";"5";"30"
"202000000033";"4";"N/A";"0";"N/A";"2";"4";"3";"1";"0";"0";"1";;" -1";"1";"0";"6";"50"
"202000000034";"4";"N/A";"0";"N/A";"1";"2";"1";"1";"0";"0";"1";;" -1";"1";"0";"5";"30"
"202000000035";"4";"N/A";"0";"N/A";"1";"3";"3";"1";"0";"0";"1";;" -1";"1";"0";"6";"50"
"202000000036";"3";"PRESIDENT WILSON (AV DU)";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";;" -1";"1";"0";"1";"50"
"202000000037";"3";"LEON GOURDAULT (AV)";"0";"N/A";"1";"2";"0";"1";"0";"1";"1";;" -1";"1";"5";"1";"50"
"202000000038";"3";"4";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";;" -1";"1";"0";"1";"50"
"202000000039";"3";"219";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";;" -1";"1";"0";"1";"50"
"202000000040";"4";"N/A";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";;" -1";"1";"9";"1";"10"
"202000000041";"3";"GENERAL DE GAULLE (AVENUE)";"0";"N/A";"3";"4";"0";"1";"1";"0";"1";;" -1";"1";"0";"1";"50"
"202000000042";"3";"933";"0";"N/A";"3";"4";"0";"1";"0";"1";"1";;" -1";"1";"0";"1";"50"
"202000000043";"3";"PARIS RUE DE";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";;" -1";"1";"9";"8";"50"
"202000000044";"3";"901";"0";"N/A";"3";"5";"0";"1";"1";"1";"1";;" -1";"1";"0";"1";"50"
"202000000045";"3";"403";"0";"N/A";"3";"4";"0";"2";"0";"1";"1";;" -1";"1";"0";"1";"50"
